State Abbreviation,State,Martin van Buren Electoral Votes,William Harrison Electoral Votes,Hugh Lawson White Electoral Votes,Daniel Webster Electoral Votes,Martin van Buren Popular Votes,Martin van Buren Percent,William Harrison Popular Votes,William Harrison Percent,Hugh Lawson White Popular Votes,Hugh Lawson White Percent,Daniel Webster Popular Votes,Daniel Webster Percent
AL,Alabama,7,,,,20638,55.3,,,16658,44.7,,
AR,Arkansas,3,,,,2380,64.1,,,1334,35.9,,
CT,Connecticut,8,,,,19294,50.6,18799,49.4,,,,
DE,Delaware,,3,,,4154,46.7,4736,53.2,,,,
GA,Georgia,,,11,,22778,48.2,,,24481,51.8,,
IL,Illinois,5,,,,18369,54.7,15220,45.3,,,,
IN,Indiana,,9,,,33084,44.5,41339,55.5,,,,
KY,Kentucky,,15,,,33229,47.4,36861,52.6,,,,
LA,Louisiana,5,,,,3842,51.7,,,3583,48.3,,
ME,Maine,10,,,,22825,58.9,14803,38.2,,,,
MD,Maryland,,10,,,22267,46.3,25852,53.7,,,,
MA,Massachusetts,,,,14,33486,44.8,,,,,41201,55.1
MI,Michigan,3,,,,6507,54.0,5545,46.0,,,,
MS,Mississippi,4,,,,10297,51.3,,,9782,48.7,,
MO,Missouri,4,,,,10995,60.0,,,7337,40.0,,
NH,New Hampshire,7,,,,18697,75.0,6228,25.0,,,,
NJ,New Jersey,,8,,,25592,49.5,26137,50.5,,,,
NY,New York,42,,,,166795,54.6,138548,45.4,,,,
NC,North Carolina,15,,,,26631,53.1,,,23521,46.9,,
OH,Ohio,,21,,,97122,47.9,105809,52.1,,,,
PA,Pennsylvania,30,,,,91466,51.2,87235,48.8,,,,
RI,Rhode Island,4,,,,2962,52.2,2710,47.8,-,,,
SC,South Carolina*,--,--,--,--,--,--,--,--,--,--,--,--
TN,Tennessee,,,15,,26170,42.1,,,36027,57.9,,
VT,Vermont,,7,,,14040,40.0,20994,59.8,,,,
VA,Virginia,23,,,,30556,56.6,,,23384,43.3,,
