State Abbreviation,State,James K. Polk Electoral Votes,Henry Clay Electoral Votes,James K. Polk Popular Votes,James K. Polk Percent,Henry Clay Popular Votes,Henry Clay Percent
AL,Alabama,9,,37401,59.0,26002,41.0
AR,Arkansas,3,,9546,63.0,5604,37.0
CT,Connecticut,,6,29841,46.2,32832,50.8
DE,Delaware,,3,5970,48.7,6271,51.2
GA,Georgia,10,,44147,51.2,42100,48.8
IL,Illinois,9,,58795,53.9,45854,42.0
IN,Indiana,12,,70183,50.1,67866,48.4
KY,Kentucky,,12,51988,45.9,61249,54.1
LA,Louisiana,6,,13782,51.3,13083,48.7
ME,Maine,9,,45719,53.8,34378,40.5
MD,Maryland,,8,32706,47.6,35984,52.4
MA,Massachusetts,,12,53039,40.2,67062,50.8
MI,Michigan,5,,27737,49.9,24185,43.5
MS,Mississippi,6,,25846,57.4,19158,42.6
MO,Missouri,7,,41322,57.0,31200,43.0
NH,New Hampshire,6,,27160,55.2,17866,36.3
NJ,New Jersey,,7,37495,49.4,38318,50.5
NY,New York,36,,237588,48.9,232482,47.8
NC,North Carolina,,11,39287,47.6,43232,52.4
OH,Ohio,,23,149127,47.8,155091,49.7
PA,Pennsylvania,26,,167311,50.4,161195,48.6
RI,Rhode Island,,4,4867,39.9,7322,60.0
SC,South Carolina*,9,--,--,--,--,--
TN,Tennessee,,13,59917,49.9,60040,50.1
VT,Vermont,,6,18041,37.0,26770,54.9
VA,Virginia,17,,50679,53.0,44860,47.0
