State Abbreviation,State,Zachary Taylor Electoral Votes,Lewis Cass Electoral Votes,Zachary Taylor Popular Votes,Zachary Taylor Percent,Lewis Cass Popular Votes,Lewis Cass Percent,Martin Van Buren Popular Votes,Martin Van Buren Percent
AL,Alabama,,9,30482,49.4,31173,50.6,0,0.0
AR,Arkansas,,3,7587,44.9,9301,55.1,0,0.0
CT,Connecticut,6,,30318,48.6,27051,43.4,5005,8.0
DE,Delaware,3,,6440,51.8,5910,47.5,82,0.7
FL,Florida,3,,4120,57.2,3083,42.8,0,0.0
GA,Georgia,10,,47532,51.5,44785,48.5,0,0.0
IL,Illinois,,9,52853,42.4,55952,44.9,15702,12.6
IN,Indiana,,12,69668,45.7,74695,49.0,8031,5.3
IA,Iowa,,4,9930,44.6,11238,50.5,1103,5.0
KY,Kentucky,12,,67145,57.5,49720,42.5,0,0.0
LA,Louisiana,6,,18487,54.6,15379,45.4,0,0.0
ME,Maine,,9,35273,40.3,40195,45.9,12157,13.9
MD,Maryland,8,,37702,52.1,34528,47.7,129,0.2
MA,Massachusetts,12,,61072,45.3,35281,26.2,38333,28.4
MI,Michigan,,5,23947,36.8,30742,47.2,10393,16.0
MS,Mississippi,,6,25911,49.4,26545,50.6,0,0.0
MO,Missouri,,7,32671,44.9,40077,55.1,0,0.0
NH,New Hampshire,,6,14781,29.5,27763,55.4,7560,15.1
NJ,New Jersey,7,,40015,51.5,36901,47.5,829,1.1
NY,New York,36,,218583,47.9,114319,25.1,120497,26.4
NC,North Carolina,11,,44054,55.2,35772,44.8,0,0.0
OH,Ohio,,23,138656,42.1,154782,47.0,35523,10.8
PA,Pennsylvania,26,,185730,50.3,172186,46.7,11176,3.0
RI,Rhode Island,4,,6705,60.7,3613,32.7,726,6.6
SC,South Carolina*,--,9,--,--,--,--,--,--
TN,Tennessee,13,,64321,52.5,58142,47.5,0,0.0
TX,Texas,,4,5281,31.1,11644,68.5,0,0.0
VT,Vermont,6,,23117,48.3,10943,22.8,13837,28.9
VA,Virginia,,17,45265,49.2,46739,50.8,0,0.0
WI,Wisconsin,,4,13747,35.1,15001,38.3,10418,26.6
