State Abbreviation,State,Franklin Pierce Electoral Votes,Winfield Scott Electoral Votes,Franklin Pierce Popular Votes,Franklin Pierce Percent,Winfield Scott Popular Votes,Winfield Scott Percent,John P. Hale Popular Votes,John P. Hale Percent
AL,Alabama,9,,26881,60.9,15061,34.1,0,0.0
AR,Arkansas,4,,12173,62.2,7404,37.8,0,0.0
CA,California,4,,40721,53.0,35972,46.8,61,0.1
CT,Connecticut,6,,33249,49.8,30359,45.5,3161,4.7
DE,Delaware,3,,6318,49.9,6293,49.7,62,0.5
FL,Florida,3,,4318,60.0,2875,40.0,0,0.0
GA,Georgia,10,,40516,64.7,16660,26.6,0,0.0
IL,Illinois,11,,80378,51.9,64733,41.8,9863,6.4
IN,Indiana,13,,95340,52.0,80907,44.2,6929,3.8
IA,Iowa,4,,17763,50.2,15856,44.8,1606,4.5
KY,Kentucky,,12,53949,48.3,57428,51.4,266,0.2
LA,Louisiana,6,,18647,51.9,17255,48.1,0,0.0
ME,Maine,8,,41609,50.6,32543,39.6,8030,9.8
MD,Maryland,8,,40022,53.3,35077,46.7,21,0.0
MA,Massachusetts,,13,44569,35.1,52683,41.4,28023,22.0
MI,Michigan,6,,41842,50.4,33860,40.8,7237,8.7
MS,Mississippi,7,,26896,60.5,17558,39.5,0,0.0
MO,Missouri,9,,38817,56.4,29984,43.6,0,0.0
NH,New Hampshire,5,,28503,56.4,15486,30.6,6546,13.0
NJ,New jersey,7,,44301,52.8,38551,45.9,336,0.4
NY,New York,35,,262083,50.2,234882,45.0,25329,4.8
NC,North Carolina,10,,39788,50.4,39043,49.5,0,0.0
OH,Ohio,23,,169193,47.9,152577,43.2,31133,8.8
PA,Pennsylvania,27,,198568,51.2,179182,46.2,8500,2.2
RI,Rhode Island,4,,8735,51.4,7626,44.8,644,3.8
SC,South Carolina*,8,--,--,--,--,--,--,--
TN,Tennessee,,12,56900,49.3,58586,50.7,0,0.0
TX,Texas,4,,14857,73.5,5356,26.5,0,0.0
VT,Vermont,,5,13044,29.8,22173,50.6,8621,19.7
VA,Virginia,15,,73872,55.7,58732,44.3,0,0.0
WI,Wisconsin,5,,33658,52.0,22240,34.4,8842,13.
