State Abbreviation,State,James Buchanan Electoral Votes,John C. Fremont Electoral Votes,Millard Fillmore Electoral Votes,James Buchanan Popular Votes,James Buchanan Percent,John C. Fremont Popular Votes,John C. Fremont Percent,Millard Fillmore Popular Votes,Millard Fillmore Percent
AL,Alabama,9,,,46739,62.1,0,0.0,28552,37.9
AR,Arkansas,4,,,21910,67.1,0,0.0,10732,32.9
CA,California,4,,,53342,48.4,20704,18.8,36195,32.8
CT,Connecticut,,6,,35028,43.6,42717,53.2,2615,3.3
DE,Delaware,3,,,8004,54.8,310,2.1,6275,43.0
FL,Florida,3,,,6358,56.8,0,0.0,4833,43.2
GA,Georgia,10,,,56581,57.1,0,0.0,42439,42.9
IL,Illinois,11,,,105528,44.1,96275,40.2,37531,15.7
IN,Indiana,13,,,118670,50.4,94375,40.1,22356,9.5
IA,Iowa,,4,,37568,40.7,45073,48.8,9669,10.5
KY,Kentucky,12,,,74642,52.5,0,0.0,67416,47.5
LA,Louisiana,6,,,22164,51.7,0,0.0,20709,48.3
ME,Maine,,8,,39140,35.7,67279,61.3,3270,3.0
MD,Maryland,,,8,39123,45.0,285,0.3,47452,54.6
MA,Massachusetts,,13,,39244,23.1,108172,63.6,19626,11.5
MI,Michigan,,6,,52136,41.5,71762,57.2,1660,1.3
MS,Mississippi,7,,,35456,59.4,0,0.0,24191,40.6
MO,Missouri,9,,,57964,54.4,0,0.0,48522,45.6
NH,New Hampshire,,5,,31891,45.7,37473,53.7,410,0.6
NJ,New Jersey,7,,,46943,47.2,28338,28.5,24115,24.3
NY,New York,,35,,195878,32.8,276004,46.3,124604,20.9
NC,North Carolina,10,,,48243,56.8,0,0.0,36720,43.2
OH,Ohio,,23,,170874,44.2,187497,48.5,28121,7.3
PA,Pennsylvania,27,,,230772,50.1,147963,32.1,82202,17.8
RI,Rhode Island,,4,,6680,33.7,11467,57.8,1675,8.5
SC,South Carolina*,8,--,--,--,--,--,--,--,--
TN,Tennessee,12,,,69704,52.2,0,0.0,63878,47.8
TX,Texas,4,,,31995,66.6,0,0.0,16010,33.4
VT,Vermont,,5,,10569,20.9,39561,78.1,545,1.1
VA,Virginia,15,,,90083,60.0,0,0.0,60150,40.0
WI,Wisconsin,,5,,52843,43.8,67090,55.7,580,0.5
