State Abbreviation,State,Abraham Lincoln Electoral Votes,Stephen A. Douglas Electoral Votes,John C. Breckinridge Electoral Votes,John Bell Electoral Votes,Abraham Lincoln Popular Votes,Abraham Lincoln Percent,Stephen A. Douglas Popular Votes,Stephen A. Douglas Percent,John C. Breckinridge Popular Votes,John C. Breckinridge Percent,John Bell Popular Votes,John Bell Percent
AL,Alabama,,,9,,0,0.0,13618,15.1,48669,54.0,27835,30.9
AR,Arkansas,,,4,,0,0.0,5357,9.9,28732,53.1,20063,37.0
CA,California,4,,,,38733,32.3,37999,31.7,33969,28.3,9111,7.6
CT,Connecticut,6,,,,43488,58.1,15431,20.6,14372,19.2,1528,2.0
DE,Delaware,,,3,,3822,23.7,1066,6.6,7339,45.5,3888,24.1
FL,Florida,,,3,,0,0.0,223,1.7,8277,62.2,4801,36.1
GA,Georgia,,,10,,0,0.0,11581,10.9,52176,48.9,42960,40.3
IL,Illinois,11,,,,172171,50.7,160215,47.2,2331,0.7,4914,1.4
IN,Indiana,13,,,,139033,51.1,115509,42.4,12295,4.5,5306,1.9
IA,Iowa,4,,,,70302,54.6,55639,43.2,1035,0.8,1763,1.4
KY,Kentucky,,,,12,1364,0.9,25651,17.5,53143,36.3,66058,45.2
LA,Louisiana,,,6,,--,0.0,7625,15.1,22681,44.9,20204,40.0
ME,Maine,8,,,,62811,62.2,29693,29.4,6368,6.3,2046,2.0
MD,Maryland,,,8,,2294,2.5,5966,6.4,42482,45.9,41760,45.1
MA,Massachusetts,13,,,,106684,62.8,34370,20.2,6163,3.6,22331,13.1
MI,Michigan,6,,,,88481,57.2,65057,42.0,805,0.5,415,0.3
MN,Minnesota,4,,,,22069,63.4,11920,34.2,748,2.1,50,0.1
MS,Mississippi,,,7,,0,0.0,3282,4.7,40768,59.0,25045,36.2
MO,Missouri,,9,,,17028,10.3,58801,35.5,31362,18.9,58372,35.3
NH,New Hampshire,5,,,,37519,56.9,25887,39.3,2125,3.2,412,0.6
NJ,New Jersey,4,3,,,58346,48.1,62869,51.9,0,0.0,0,0.0
NY,New York,35,,,,362646,53.7,312510,46.3,0,0.0,0,0.0
NC,North Carolina,,,10,,0,0.0,2737,2.8,48846,50.5,45129,46.7
OH,Ohio,23,,,,231709,52.3,187421,42.3,11406,2.6,12194,2.8
OR,Oregon,3,,,,5329,36.1,4136,28.0,5075,34.4,218,1.5
PA,Pennsylvania,27,,,,268030,56.3,16765,3.5,178871,37.5,12776,2.7
RI,Rhode Island,4,,,,12244,61.4,7707,38.6,0,0.0,0,0.0
SC,South Carolina*,--,--,8,--,--,--,--,--,--,--,--,--
TN,Tennessee,,,,12,0,0.0,11281,7.7,65097,44.6,69728,47.7
TX,Texas,,,4,,0,0.0,18,0,47454,75.5,15383,24.5
VT,Vermont,5,,,,33808,75.7,8649,19.4,218,0.5,1969,4.4
VA,Virginia,,,,15,1887,1.1,16198,9.7,74325,44.5,74481,44.6
WI,Wisconsin,5,,,,86110,56.6,65021,42.7,887,0.6,161,0.1
