State Abbreviation,State,Abraham Lincoln Electoral Votes,George B. McClellan Electoral Votes,Abraham Lincoln Popular Votes,Abraham Lincoln Percent,George B. McClellan Popular Votes,George B. McClellan Percent
CA,California,5,,62053,58.6,43837,41.4
CT,Connecticut,6,,44673,51.4,42285,48.6
DE,Delaware,,3,8155,48.2,8767,51.8
IL,Illinois,16,,189512,54.4,158724,45.6
IN,Indiana,13,,149887,53.5,130230,46.5
IA,Iowa,8,,88500,64.1,49525,35.9
KS,Kansas,3,,17089,79.2,3836,17.8
KY,Kentucky,,11,27787,30.2,64301,69.8
ME,Maine,7,,68104,59.2,46995,40.8
MD,Maryland,7,,40153,55.1,32739,44.9
MA,Massachusetts,12,,126742,72.2,48745,27.8
MI,Michigan,8,,88551,55.3,71472,44.7
MN,Minnesota,4,,25031,59.0,17376,40.9
MO,Missouri,11,,72750,69.7,31596,30.3
NV,Nevada,2,,9826,59.8,6594,40.2
NH,New Hampshire,5,,36596,52.6,33034,47.4
NJ,New Jersey,,7,60724,47.2,68020,52.8
NY,New York,33,,368735,50.5,361986,49.5
OH,Ohio,21,,265674,56.4,205609,43.6
OR,Oregon,3,,9888,53.9,8457,46.1
PA,Pennsylvania,26,,296391,51.7,276316,48.3
RI,Rhode Island,4,,14349,62.2,8718,37.8
VT,Vermont,5,,42419,76.1,13321,23.9
WV,West Virginia,5,,23799,68.2,11078,31.8
WI,Wisconsin,8,,83458,55.9,65884,44.1
