State Abbreviation,State,James A. Garfield Electoral Votes,Winfield S. Hancock Electoral Votes,James A. Garfield Popular Votes,James A. Garfield Percent,Winfield S. Hancock Popular Votes,Winfield S. Hancock Percent
AL,Alabama,,10,56350,37.1,91130,60.0
AR,Arkansas,,6,42436,39.0,60775,55.9
CA,California,1,5,80282,48.9,80426,49.0
CO,Colorado,3,,27450,51.3,24647,46.0
CT,Connecticut,6,,67071,50.5,64411,48.5
DE,Delaware,,3,14148,48.0,15181,51.5
FL,Florida,,4,23654,45.8,27964,54.2
GA,Georgia,,11,54470,34.6,102981,65.4
IL,Illinois,21,,318036,51.1,277321,44.6
IN,Indiana,15,,232169,49.3,225523,47.9
IA,Iowa,11,,183904,56.9,105845,32.8
KS,Kansas,5,,121520,60.4,59789,29.7
KY,Kentucky,,12,106059,39.7,149068,55.9
LA,Louisiana,,8,38978,37.3,65047,62.3
ME,Maine,7,,74052,51.5,65211,45.3
MD,Maryland,,8,78515,45.4,93706,54.1
MA,Massachusetts,13,,165198,58.5,111960,39.6
MI,Michigan,11,,185335,52.5,131596,37.3
MN,Minnesota,5,,93939,62.3,53314,35.4
MS,Mississippi,,8,34844,29.8,75750,64.7
MO,Missouri,,15,153647,38.7,208600,52.5
NE,Nebraska,3,,54979,62.9,28523,32.7
NV,Nevada,,3,8732,47.6,9611,52.4
NH,New Hampshire,5,,44856,51.9,40797,47.2
NJ,New Jersey,,9,120555,49.0,122565,49.8
NY,New York,35,,555544,50.3,534511,48.4
NC,North Carolina,,10,115616,48.0,124204,51.5
OH,Ohio,22,,375048,51.7,340867,47.0
OR,Oregon,3,,20619,50.5,19955,48.9
PA,Pennsylvania,29,,444704,50.8,407428,46.6
RI,Rhode Island,4,,18195,62.2,10779,36.9
SC,South Carolina,,7,57954,34.1,111236,65.5
TN,Tennessee,,12,107677,44.3,129569,53.3
TX,Texas,,8,57225,23.8,155963,64.8
VT,Vermont,5,,45567,70.0,18316,28.1
VA,Virginia,,11,83634,39.3,128647,60.5
WV,West Virginia,,5,46243,41.1,57390,50.9
WI,Wisconsin,10,,144406,54.0,114650,42.9
