State Abbreviation,State,Grover Cleveland Electoral Votes,James G. Blaine Electoral Votes,Grover Cleveland Popular Votes,Grover Cleveland Percent,James G. Blaine Popular Votes,James G. Blaine Percent
AL,Alabama,10,,92736,60.4,59444,38.7
AR,Arkansas,7,,72734,57.8,51198,40.7
CA,California,,8,89288,45.3,102369,52.0
CO,Colorado,,3,27723,41.7,36084,54.2
CT,Connecticut,6,,67167,48.9,65879,48.0
DE,Delaware,3,,16957,56.6,12953,43.2
FL,Florida,4,,31769,53.0,28031,46.7
GA,Georgia,12,,94667,65.9,48603,33.8
IL,Illinois,,22,312351,46.4,337469,50.2
IN,Indiana,15,,245041,49.5,238511,48.1
IA,Iowa,,13,177316,45.1,197089,50.1
KS,Kansas,,9,90111,35.9,154410,61.5
KY,Kentucky,13,,152894,55.3,118822,43.0
LA,Louisiana,8,,62594,57.2,46347,42.4
ME,Maine,,6,52153,40.0,72217,55.3
MD,Maryland,8,,96941,52.2,85748,46.1
MA,Massachusetts,,14,122352,40.3,146724,48.4
MI,Michigan,,13,189361,47.2,192669,48.0
MN,Minnesota,,7,70135,36.7,111819,58.8
MS,Mississippi,9,,77653,64.3,43035,35.7
MO,Missouri,16,,236023,53.5,203081,46.0
NE,Nebraska,,5,54391,40.5,76912,57.3
NV,Nevada,,3,5577,43.6,7176,56.2
NH,New Hampshire,,4,39198,46.3,43254,51.1
NJ,New Jersey,9,,127747,49.0,123436,47.3
NY,New York,36,,563048,48.2,562001,48.2
NC,North Carolina,11,,142905,53.3,125021,46.6
OH,Ohio,,23,368280,46.9,400092,51.0
OR,Oregon,,3,24598,46.7,26845,51.0
PA,Pennsylvania,,30,392915,43.7,474350,52.7
RI,Rhode Island,,4,12391,37.8,19030,58.1
SC,South Carolina,9,,69845,75.3,21730,23.4
TN,Tennessee,12,,133770,51.5,124101,47.7
TX,Texas,13,,226375,69.3,93345,28.6
VT,Vermont,,4,17331,29.2,39514,66.5
VA,Virginia,12,,145491,51.1,139356,48.9
WV,West Virginia,6,,67311,50.9,63096,47.7
WI,Wisconsin,,11,146447,45.8,161155,50.4
