State Abbreviation,State,Benjamin Harrison Electoral Votes,Grover Cleveland Electoral Votes,Benjamin Harrison Popular Votes,Benjamin Harrison Percent,Grover Cleveland Popular Votes,Grover Cleveland Percent
AL,Alabama,,10,57177,32.7,117314,67.0
AR,Arkansas,,7,59752,38.0,86062,54.8
CA,California,8,,124816,49.7,117729,46.8
CO,Colorado,3,,50772,55.2,37549,40.8
CT,Connecticut,,6,74584,48.4,74920,48.7
DE,Delaware,,3,12950,43.5,16414,55.1
FL,Florida,,4,26529,39.9,39557,59.5
GA,Georgia,,12,40499,28.3,100493,70.3
IL,Illinois,22,,370475,49.5,348351,46.6
IN,Indiana,15,,263366,49.0,260990,48.6
IA,Iowa,13,,211607,52.3,179876,44.4
KS,Kansas,9,,182845,55.2,102739,31.0
KY,Kentucky,,13,155138,45.0,183830,53.3
LA,Louisiana,,8,30660,26.5,85032,73.4
ME,Maine,6,,73730,57.5,50472,39.4
MD,Maryland,,8,99986,47.4,106188,50.3
MA,Massachusetts,14,,183892,53.4,151590,44.0
MI,Michigan,13,,236387,49.7,213469,44.9
MN,Minnesota,7,,142492,54.1,104372,39.7
MS,Mississippi,,9,30095,26.0,85451,73.8
MO,Missouri,,16,236252,45.3,261943,50.2
NE,Nebraska,5,,108417,53.5,80552,39.8
NV,Nevada,3,,7229,57.5,5303,42.2
NH,New Hampshire,4,,45734,50.4,43382,47.8
NJ,New Jersey,,9,144360,47.5,151508,49.9
NY,New York,36,,650338,49.2,635965,48.1
NC,North Carolina,,11,134784,47.1,148336,51.9
OH,Ohio,23,,416054,49.6,395456,47.1
OR,Oregon,3,,33291,53.8,26518,42.8
PA,Pennsylvania,30,,526091,52.7,446633,44.8
RI,Rhode Island,4,,21969,53.9,17530,43.0
SC,South Carolina,,9,13736,17.2,65824,82.3
TN,Tennessee,,12,139511,45.8,158779,52.2
TX,Texas,,13,93991,25.9,236290,65.0
VT,Vermont,4,,45193,71.2,16788,26.4
VA,Virginia,,12,150399,49.5,152004,50.0
WV,West Virginia,,6,78171,49.0,78677,49.3
WI,Wisconsin,11,,176553,49.8,155232,43.8
