State Abbreviation,State,Grover Cleveland Electoral Votes,Benjamin Harrison Electoral Votes,James B. Weaver Electoral Votes,Grover Cleveland Popular Votes,Grover Cleveland Percent,Benjamin Harrison Popular Votes,Benjamin Harrison Percent,James B. Weaver Popular Votes,James B. Weaver Percent
AL,Alabama,11,,,138135,59.4,9184,3.9,84984,36.5
AR,Arkansas,8,,,87834,59.3,47072,31.8,11831,8.0
CA,California,8,1,,118151,43.8,118027,43.8,25311,9.4
CO,Colorado,,,4,0,0.0,38620,41.1,53584,57.1
CT,Connecticut,6,,,82395,50.1,77030,46.8,809,0.5
DE,Delaware,3,,,18581,49.9,18077,48.5,0,0.0
FL,Florida,4,,,30154,84.8,0,0.0,4843,13.6
GA,Georgia,13,,,129386,57.8,48305,21.6,42937,19.2
ID,Idaho,,,3,0,0.0,8599,44.3,10520,54.2
IL,Illinois,24,,,426281,48.8,399308,45.7,22207,2.5
IN,Indiana,15,,,262740,47.5,255615,46.2,22208,4.0
IA,Iowa,,13,,196367,44.3,219795,49.6,20595,4.6
KS,Kansas,,,10,0,0.0,156134,48.3,162888,50.3
KY,Kentucky,13,,,175461,51.5,135462,39.7,23500,6.9
LA,Louisiana,8,,,87922,74.3,27903,23.6,2462,2.1
ME,Maine,,6,,48024,41.4,62878,54.2,2045,1.8
MD,Maryland,8,,,113866,53.4,92736,43.5,796,0.4
MA,Massachusetts,,15,,176813,45.2,202814,51.9,3210,0.8
MI,Michigan,5,9,,202396,43.3,222708,47.7,20031,4.3
MN,Minnesota,,9,,101055,37.8,122836,45.9,29336,11.0
MS,Mississippi,9,,,40030,76.2,1398,2.7,10118,19.3
MO,Missouri,17,,,268400,49.6,227646,42.0,41204,7.6
MT,Montana,,3,,17690,39.8,18871,42.4,7338,16.5
NE,Nebraska,,8,,24956,12.5,87213,43.6,83134,41.5
NV,Nevada,,,3,703,6.5,2811,26.0,7226,66.7
NH,New Hampshire,,4,,42081,47.1,45658,51.1,292,0.3
NJ,New Jersey,10,,,170987,50.7,156059,46.2,969,0.3
NY,New York,36,,,654868,49.0,609350,45.6,16429,1.2
NC,North Carolina,11,,,132951,47.4,100346,35.8,44336,15.8
ND,North Dakota,1,1,1,0,0.0,17519,48.5,17700,49.0
OH,Ohio,1,22,,404115,47.5,405187,47.7,14850,1.7
OR,Oregon,,3,1,14243,18.2,35002,44.7,26875,34.3
PA,Pennsylvania,,32,,452264,45.1,516011,51.4,8714,0.9
RI,Rhode Island,,4,,24336,45.7,26975,50.7,228,0.4
SC,South Carolina,9,,,54680,77.6,13345,18.9,2407,3.4
SD,South Dakota,,4,,9081,12.9,34888,49.5,26544,37.6
TN,Tennessee,12,,,136468,51.4,100537,37.8,23918,9.0
TX,Texas,15,,,239148,56.6,77478,18.3,99688,23.6
VT,Vermont,,4,,16325,29.3,37992,68.1,42,0.1
VA,Virginia,12,,,164136,56.2,113098,38.7,12275,4.2
WA,Washington,,4,,29802,33.9,36459,41.4,19165,21.8
WV,West Virginia,6,,,84467,49.4,80292,46.9,4167,2.4
WI,Wisconsin,12,,,177325,47.7,171101,46.1,9919,2.7
WY,Wyoming,,3,,0,0.0,8454,50.6,7722,46.2
