State Abbreviation,State,William McKinley Electoral Votes,William J. Bryan Electoral Votes,William McKinley Popular Votes,William McKinley Percent,William J. Bryan Popular Votes,William J. Bryan Percent
AL,Alabama,,11,55673,28.6,130298,67.0
AR,Arkansas,,8,37512,25.1,110103,73.7
CA,California,8,1,146688,49.1,123143,41.2
CO,Colorado,,4,26271,13.9,161005,84.9
CT,Connecticut,6,,110285,63.2,56740,32.5
DE,Delaware,3,,16883,53.5,13425,42.6
FL,Florida,,4,11298,24.3,30683,66.0
GA,Georgia,,13,60107,36.8,94733,58.0
ID,Idaho,,3,6324,21.3,23135,78.1
IL,Illinois,24,,607130,55.7,465593,42.7
IN,Indiana,15,,323754,50.8,305538,48.0
IA,Iowa,13,,289293,55.5,223744,42.9
KS,Kansas,,10,159484,47.5,173049,51.5
KY,Kentucky,12,1,218171,48.9,217894,48.9
LA,Louisiana,,8,22037,21.8,77175,76.4
ME,Maine,6,,80403,67.9,34587,29.2
MD,Maryland,8,,136959,54.7,104150,41.6
MA,Massachusetts,15,,278976,69.5,105414,26.3
MI,Michigan,14,,293336,53.8,237164,43.5
MN,Minnesota,9,,193503,56.6,139735,40.9
MS,Mississippi,,9,4819,6.9,63355,91.0
MO,Missouri,,17,304940,45.2,363667,54.0
MT,Montana,,3,10509,19.7,42628,79.9
NE,Nebraska,,8,103064,46.2,115007,51.5
NV,Nevada,,3,1938,18.8,7802,75.6
NH,New Hampshire,4,,57444,68.7,21271,25.4
NJ,New Jersey,10,,221367,59.7,133675,36.0
NY,New York,36,,819838,57.6,551369,38.7
NC,North Carolina,,11,155122,46.8,174408,52.6
ND,North Dakota,3,,26335,55.6,20686,43.6
OH,Ohio,23,,525991,51.9,474882,46.8
OR,Oregon,4,,48700,50.0,46739,48.0
PA,Pennsylvania,32,,728300,61.0,427125,35.8
RI,Rhode Island,4,,37437,68.3,14459,26.4
SC,South Carolina,,9,9313,13.5,58801,85.3
SD,South Dakota,,4,41040,49.5,41225,49.7
TN,Tennessee,,12,148683,46.3,167168,52.1
TX,Texas,,15,163413,31.7,267803,51.9
UT,Utah,,3,13491,17.3,64607,82.7
VT,Vermont,4,,51127,80.1,10179,15.9
VA,Virginia,,12,135379,45.9,154708,52.5
WA,Washington,,4,39153,41.8,51646,55.2
WV,West Virginia,6,,105379,52.2,94480,46.8
WI,Wisconsin,12,,268135,59.9,165523,37.0
WY,Wyoming,,3,10072,47.8,10376,49.3
